League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
La Liga,2017-18,Atlético,Jan Oblak,GK,177,22,5.5,6.0
La Liga,2017-18,Barcelona,Jordi Alba,DEF,186,30,6.0,6.5
La Liga,2017-18,Barcelona,Sergi Roberto,DEF,150,20,5.5,5.9
La Liga,2017-18,Girona,Juanpe,DEF,121,9,5.0,5.1
La Liga,2017-18,Levante,Morales,MID,166,21,5.5,6.1
La Liga,2017-18,Girona,Portu,MID,166,18,6.5,6.7
La Liga,2017-18,Deportivo,Adrián López,MID,133,15,6.0,5.9
La Liga,2017-18,Valencia,Gonçalo Guedes,MID,131,13,5.0,5.2
La Liga,2017-18,Barcelona,Lionel Messi,FWD,287,50,13.0,13.5
La Liga,2017-18,Barcelona,Luis Suárez,FWD,223,31,12.5,12.9
La Liga,2017-18,Real Madrid,Cristiano Ronaldo,FWD,208,37,12.5,12.8
Total,-,-,-,-,1948,266,83.0,86.6
