League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Ligue 1,2019-20,Reims,Predrag Rajković,GK,114,16,5.0,5.0
Ligue 1,2019-20,Reims,Yunis Abdelhamid,DEF,125,7,4.5,4.6
Ligue 1,2019-20,Reims,Thomas Foket,DEF,116,17,5.0,4.9
Ligue 1,2019-20,Rennes,Hamari Traore,DEF,114,17,5.0,5.0
Ligue 1,2019-20,PSG,Ángel Di María,MID,160,21,9.0,9.0
Ligue 1,2019-20,PSG,Neymar,MID,133,21,11.5,11.5
Ligue 1,2019-20,Saint-Étienne,Denis Bouanga,MID,129,20,5.5,5.5
Ligue 1,2019-20,Marseille,Morgan Sanson,MID,109,14,6.0,5.8
Ligue 1,2019-20,Monaco,Wissam Ben Yedder,FWD,170,36,9.5,9.5
Ligue 1,2019-20,PSG,Kylian Mbappé,FWD,153,29,11.5,11.6
Ligue 1,2019-20,Lyon,Moussa Dembélé,FWD,141,23,9.0,8.9
Total,-,-,-,-,1464,221,81.5,81.3
