season,league,team,player,player_id,fantasy_position,mins,matches,raw_score,bonus_score,full_score,goals,assists,clean_sheets,yellows,reds,own_goals,key_passes,xG_buildup,team_final_scored,team_final_conceded,raw_bonus,avg_bonus_rank,raw_score_p_90,bonus_score_p_90,full_score_p_90,goals_p_90,assists_p_90,clean_sheets_p_90,yellows_p_90,reds_p_90,own_goals_p_90,key_passes_p_90,xG_buildup_p_90,team_final_scored_p_90,team_final_conceded_p_90,raw_bonus_p_90,raw_score_p_match,bonus_score_p_match,full_score_p_match,goals_p_match,assists_p_match,clean_sheets_p_match,yellows_p_match,reds_p_match,own_goals_p_match,key_passes_p_match,xG_buildup_p_match,team_final_scored_p_match,team_final_conceded_p_match,raw_bonus_p_match
2014-15,Bundesliga,Augsburg,Pierre-Emile Højbjerg,343,MID,1008,16,42,2,44,2,3,2,4,0,0,19,1.138,20,22,152,14.312,3.75,0.179,3.929,0.179,0.268,0.179,0.357,0,0,1.696,0.102,1.786,1.964,13.571,2.625,0.125,2.75,0.125,0.188,0.125,0.25,0,0,1.188,0.071,1.25,1.375,9.5
2014-15,Bundesliga,Augsburg,Ragnar Klavan,265,DEF,3060,34,104,9,113,2,0,10,1,0,0,6,4.514,43,43,354,12.897,3.059,0.265,3.324,0.059,0,0.294,0.029,0,0,0.176,0.133,1.265,1.265,10.412,3.059,0.265,3.324,0.059,0,0.294,0.029,0,0,0.176,0.133,1.265,1.265,10.412
2014-15,Bundesliga,Augsburg,Raúl Bobadilla,273,MID,2629,32,121,17,138,10,2,10,4,1,0,41,2.533,40,40,406,10.203,4.142,0.582,4.724,0.342,0.068,0.342,0.137,0.034,0,1.404,0.087,1.369,1.369,13.899,3.781,0.531,4.312,0.312,0.062,0.312,0.125,0.031,0,1.281,0.079,1.25,1.25,12.688
2014-15,Bundesliga,Augsburg,Sascha Mölders,398,FWD,343,12,18,0,18,1,0,2,1,0,0,4,0.262,18,14,65,18.875,4.723,0,4.723,0.262,0,0.525,0.262,0,0,1.05,0.069,4.723,3.673,17.055,1.5,0,1.5,0.083,0,0.167,0.083,0,0,0.333,0.022,1.5,1.167,5.417
2014-15,Bundesliga,Augsburg,Shawn Parker,2677,MID,190,8,11,0,11,0,1,0,1,0,0,7,0.154,10,16,42,18.125,5.211,0,5.211,0,0.474,0,0.474,0,0,3.316,0.073,4.737,7.579,19.895,1.375,0,1.375,0,0.125,0,0.125,0,0,0.875,0.019,1.25,2,5.25
2014-15,Bundesliga,Augsburg,Tim Matavz,275,FWD,509,16,33,4,37,3,1,1,0,0,0,4,0.169,21,21,121,18.594,5.835,0.707,6.542,0.53,0.177,0.177,0,0,0,0.707,0.03,3.713,3.713,21.395,2.062,0.25,2.312,0.188,0.062,0.062,0,0,0,0.25,0.011,1.312,1.312,7.562
2014-15,Bundesliga,Augsburg,Tobias Werner,397,MID,2640,31,113,17,130,8,4,8,8,0,0,52,2.181,39,40,398,11.323,3.852,0.58,4.432,0.273,0.136,0.273,0.273,0,0,1.773,0.074,1.33,1.364,13.568,3.645,0.548,4.194,0.258,0.129,0.258,0.258,0,0,1.677,0.07,1.258,1.29,12.839
2014-15,Bundesliga,Bayern,Arjen Robben,392,MID,1681,21,158,37,195,17,7,12,0,0,0,50,8.606,62,12,591,5.167,8.459,1.981,10.44,0.91,0.375,0.642,0,0,0,2.677,0.461,3.319,0.642,31.642,7.524,1.762,9.286,0.81,0.333,0.571,0,0,0,2.381,0.41,2.952,0.571,28.143
2014-15,Bundesliga,Bayern,Bastian Schweinsteiger,907,MID,1361,20,75,10,85,5,4,7,4,0,0,31,4.264,41,15,283,11.25,4.96,0.661,5.621,0.331,0.265,0.463,0.265,0,0,2.05,0.282,2.711,0.992,18.714,3.75,0.5,4.25,0.25,0.2,0.35,0.2,0,0,1.55,0.213,2.05,0.75,14.15
2014-15,Bundesliga,Bayern,Claudio Pizarro,122,FWD,316,13,18,0,18,0,1,1,0,0,0,4,0.711,24,9,62,20.692,5.127,0,5.127,0,0.285,0.285,0,0,0,1.139,0.202,6.835,2.563,17.658,1.385,0,1.385,0,0.077,0.077,0,0,0,0.308,0.055,1.846,0.692,4.769
2014-15,Bundesliga,Bayern,Dante,148,DEF,1995,27,100,2,102,0,0,15,5,0,0,4,8.556,59,12,391,10.63,4.511,0.09,4.602,0,0,0.677,0.226,0,0,0.18,0.386,2.662,0.541,17.639,3.704,0.074,3.778,0,0,0.556,0.185,0,0,0.148,0.317,2.185,0.444,14.481
