League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
La Liga,2017-18,Atlético,Jan Oblak,GK,177,22,5.5,6.0
Serie A,2017-18,Roma,Aleksandar Kolarov,DEF,183,28,5.5,6.0
Serie A,2017-18,Napoli,Kalidou Koulibaly,DEF,178,14,5.5,6.1
Serie A,2017-18,Inter,Milan Skriniar,DEF,168,11,4.5,5.1
Ligue 1,2017-18,Marseille,Florian Thauvin,MID,262,42,7.5,9.2
Ligue 1,2017-18,Lyon,Memphis Depay,MID,239,32,6.5,8.1
Ligue 1,2017-18,Lyon,Nabil Fekir,MID,207,35,8.0,8.6
Serie A,2017-18,Lazio,Luis Alberto,MID,190,26,6.0,6.7
Ligue 1,2017-18,Monaco,Rony Lopes,MID,186,22,5.5,6.4
Premier League,2017-18,Liverpool,Mohamed Salah,FWD,268,42,9.5,10.9
Serie A,2017-18,Lazio,Ciro Immobile,FWD,238,38,8.5,9.7
Total,-,-,-,-,2296,312,72.5,82.8
