League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
La Liga,2019-20,Atlético,Jan Oblak,GK,161,23,6.0,6.1
La Liga,2019-20,Real Madrid,Sergio Ramos,DEF,205,18,6.5,7.2
La Liga,2019-20,Sevilla,Jesús Navas,DEF,170,21,5.5,5.8
La Liga,2019-20,Real Madrid,Daniel Carvajal,DEF,156,25,5.0,5.4
La Liga,2019-20,Sevilla,Sergio Reguilón,DEF,142,15,5.5,5.7
La Liga,2019-20,Real Sociedad,Mikel Oyarzabal,MID,184,25,7.5,7.7
La Liga,2019-20,Villarreal,Santiago Cazorla,MID,177,29,7.0,7.2
La Liga,2019-20,Osasuna,Roberto Torres,MID,152,19,5.5,5.7
La Liga,2019-20,Barcelona,Lionel Messi,FWD,271,51,13.0,13.3
La Liga,2019-20,Real Madrid,Karim Benzema,FWD,227,46,10.5,11.1
La Liga,2019-20,Villarreal,Gerard Moreno,FWD,176,29,7.5,7.8
Total,-,-,-,-,2021,301,79.5,83.0
