League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Ligue 1,2018-19,Nice,Walter Benítez,GK,149,22,4.5,4.9
Ligue 1,2018-19,Strasbourg,Kenny Lala,DEF,165,24,5.5,5.9
Ligue 1,2018-19,Lille,José Fonte,DEF,146,11,4.5,5.0
Ligue 1,2018-19,PSG,Marquinhos,DEF,144,18,5.5,5.7
Ligue 1,2018-19,Lille,Nicolas Pepe,MID,274,42,7.0,9.0
Ligue 1,2018-19,Marseille,Florian Thauvin,MID,192,25,10.5,10.7
Ligue 1,2018-19,PSG,Ángel Di María,MID,185,23,8.0,8.4
Ligue 1,2018-19,Toulouse,Max Gradel,MID,171,26,8.5,8.4
Ligue 1,2018-19,Lille,Jonathan Bamba,MID,171,18,6.5,6.9
Ligue 1,2018-19,PSG,Kylian Mbappé,FWD,237,39,8.5,10.0
Ligue 1,2018-19,Montpellier,Andy Delort,FWD,180,35,6.5,6.9
Total,-,-,-,-,2014,283,75.5,81.8
