League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Premier League,2014-15,Swansea,Łukasz Fabiański,GK,130,23,4.5,4.8
Premier League,2014-15,Chelsea,Branislav Ivanović,DEF,179,16,5.5,6.1
Premier League,2014-15,Chelsea,John Terry,DEF,172,9,5.5,5.9
Premier League,2014-15,Southampton,Ryan Bertrand,DEF,137,13,5.0,5.2
Premier League,2014-15,Chelsea,Eden Hazard,MID,234,46,8.0,8.8
Premier League,2014-15,Arsenal,Alexis Sánchez,MID,212,33,8.5,9.0
Premier League,2014-15,Man. City,David Silva,MID,177,29,8.0,8.2
Premier League,2014-15,Arsenal,Santiago Cazorla,MID,166,21,7.0,7.2
Premier League,2014-15,Tottenham,Christian Eriksen,MID,157,25,6.0,6.1
Premier League,2014-15,Man. City,Sergio Agüero,FWD,221,35,11.0,11.5
Premier League,2014-15,Tottenham,Harry Kane,FWD,188,36,9.5,9.6
Total,-,-,-,-,1973,286,78.5,82.4
