League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Bundesliga,2018-19,RB Leipzig,Péter Gulácsi,GK,130,12,4.5,4.8
Bundesliga,2018-19,Bayern,Joshua Kimmich,DEF,188,31,6.5,6.9
Bundesliga,2018-19,RB Leipzig,Marcel Halstenberg,DEF,172,27,5.0,5.6
Bundesliga,2018-19,RB Leipzig,Lukas Klostermann,DEF,124,12,4.5,4.7
Bundesliga,2018-19,Dortmund,Marco Reus,MID,197,33,7.0,7.8
Bundesliga,2018-19,Leverkusen,Kai Havertz,MID,197,30,6.5,7.2
Bundesliga,2018-19,Dortmund,Jadon Sancho,MID,195,27,6.0,6.9
Bundesliga,2018-19,Hoffenheim,Andrej Kramarić,MID,189,32,8.5,8.7
Bundesliga,2018-19,Bayern,Robert Lewandowski,FWD,207,34,12.0,12.3
Bundesliga,2018-19,Wolfsburg,Wout Weghorst,FWD,182,30,8.5,8.6
Bundesliga,2018-19,RB Leipzig,Timo Werner,FWD,170,27,9.0,9.2
Total,-,-,-,-,1951,295,78.0,82.7
