League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Serie A,2016-17,Roma,Wojciech Szczesny,GK,132,10,4.5,4.8
Serie A,2016-17,Atalanta,Mattia Caldara,DEF,166,17,6.0,6.3
Serie A,2016-17,Juventus,Alex Sandro,DEF,145,26,6.0,6.0
Serie A,2016-17,Atalanta,Andrea Masiello,DEF,143,11,4.5,4.9
Serie A,2016-17,Napoli,Marek Hamšík,MID,204,30,8.0,8.4
Serie A,2016-17,Roma,Mohamed Salah,MID,198,26,8.0,8.5
Serie A,2016-17,Roma,Radja Nainggolan,MID,173,20,5.5,6.1
Serie A,2016-17,Inter,Ivan Perišić,MID,166,19,7.0,7.2
Serie A,2016-17,Roma,Edin Dzeko,FWD,250,41,7.0,8.8
Serie A,2016-17,Napoli,Dries Mertens,FWD,236,40,7.0,8.5
Serie A,2016-17,Torino,Andrea Belotti,FWD,233,44,7.0,8.1
Total,-,-,-,-,2046,284,70.5,77.6
