League,Season,Club,Player,Position,Points,Bonus_Points,Start_Price,End_Price
Ligue 1,2015-16,PSG,Kevin Trapp,GK,151,13,4.5,5.0
Ligue 1,2015-16,Lille,Djibril Sidibe,DEF,194,24,5.5,6.1
Ligue 1,2015-16,Monaco,Fabinho,DEF,166,21,6.0,6.3
Ligue 1,2015-16,PSG,Maxwell,DEF,156,20,6.0,6.1
Ligue 1,2015-16,Nice,Hatem Ben Arfa,MID,206,28,5.0,6.3
Ligue 1,2015-16,Caen,Ronny Rodelin,MID,147,21,5.0,5.3
Ligue 1,2015-16,Rennes,Ousmane Dembélé,MID,145,21,7.5,7.4
Ligue 1,2015-16,Caen,Julien Féret,MID,142,14,6.5,6.4
Ligue 1,2015-16,PSG,Zlatan Ibrahimović,FWD,303,53,10.5,11.9
Ligue 1,2015-16,Marseille,Michy Batshuayi,FWD,193,38,6.5,7.1
Ligue 1,2015-16,Lyon,Alexandre Lacazette,FWD,189,33,11.5,11.7
Total,-,-,-,-,1992,286,74.5,79.6
